source,target,day
1,2,4
1,2,5
1,2,3
1,2,5
1,2,5
1,2,2
1,2,3
1,2,3
1,2,3
1,2,5
1,2,4
1,2,3
1,2,5
1,2,2
1,2,4
1,2,2
1,2,4
1,2,5
1,2,1
1,2,4
1,2,2
1,2,5
1,2,4
1,2,1
1,2,1
1,2,3
1,2,3
1,2,2
1,2,4
1,2,4
1,2,3
1,2,4
1,2,4
1,2,1
1,2,3
1,2,5
1,2,3
1,2,5
1,2,1
1,2,2
1,2,4
1,2,1
1,2,4
1,2,2
1,2,2
1,2,1
1,2,2
1,2,5
1,2,2
1,2,4
1,2,4
1,2,4
1,2,4
1,2,5
1,2,3
1,2,1
1,2,4
1,2,2
1,2,4
1,2,2
1,2,2
1,2,4
1,2,5
1,2,2
1,2,2
1,2,4
1,2,2
1,2,2
1,2,4
1,2,4
1,2,1
1,2,5
1,2,5
1,2,2
1,2,5
1,2,2
1,2,1
1,2,4
1,2,4
1,2,4
1,2,5
1,2,1
1,2,5
1,2,5
1,2,1
1,2,1
1,2,1
1,2,1
1,2,4
1,2,3
1,2,3
1,2,1
1,2,3
1,2,3
1,2,1
1,2,3
1,2,5
1,2,2
1,2,2
1,2,1
1,2,4
1,2,1
1,2,4
1,2,2
1,2,1
1,2,5
1,2,3
1,2,4
1,2,3
1,2,3
1,2,1
1,2,3
1,2,5
1,2,3
1,2,1
1,2,5
1,2,2
1,2,3
1,2,1
1,2,2
1,2,2
1,2,4
1,2,5
1,2,3
1,2,1
1,2,4
1,2,5
1,2,4
1,2,5
1,2,5
1,2,3
1,2,5
1,2,4
1,2,5
1,2,3
1,2,3
1,2,4
1,2,2
1,2,2
1,2,5
1,2,1
1,2,5
1,2,4
1,2,4
1,2,4
1,2,4
1,2,4
1,2,3
1,2,2
1,2,4
1,2,1
1,2,1
1,2,1
1,2,1
1,2,3
1,2,1
1,2,4
1,2,5
1,2,1
1,2,3
1,2,3
1,2,1
1,2,5
1,2,1
1,2,3
1,2,2
1,2,4
1,2,3
1,2,1
1,2,4
1,2,1
1,2,1
1,2,2
1,2,4
1,2,4
1,2,2
1,2,3
1,2,1
1,2,5
1,2,1
1,2,1
1,2,3
1,2,1
2,3,2
3,4,2
3,4,4
3,4,5
3,4,1
3,4,1
3,4,3
3,4,2
3,4,5
3,4,4
3,4,2
3,4,4
3,4,3
3,4,3
3,4,1
3,4,5
3,4,4
3,4,2
3,4,3
3,4,1
3,4,1
3,4,4
3,4,3
3,4,5
3,4,3
3,4,4
3,4,4
3,4,3
3,4,4
3,4,3
3,4,2
3,4,3
3,4,3
3,4,4
3,4,4
3,4,1
3,4,1
3,4,2
3,4,1
3,4,3
3,4,4
3,4,1
3,4,1
3,4,2
3,4,2
3,4,3
3,4,4
3,4,2
3,4,1
3,4,4
3,4,4
3,4,1
3,4,2
3,4,1
3,4,4
3,4,5
3,4,5
3,4,3
3,4,1
3,4,1
3,4,3
3,4,3
3,4,3
3,4,4
3,4,1
3,4,4
3,4,3
3,4,1
3,4,4
3,4,4
3,4,3
3,4,1
3,4,3
3,4,1
3,4,5
3,4,2
3,4,2
3,4,2
3,4,3
3,4,5
3,4,1
3,4,4
3,4,1
3,4,4
3,4,1
3,4,5
5,6,4
5,6,3
5,6,1
5,6,1
5,6,4
5,6,3
5,6,3
5,6,5
5,6,3
5,6,3
5,6,3
5,6,2
5,6,5
5,6,1
5,6,4
5,6,1
5,6,5
5,6,4
5,6,5
5,6,3
5,6,4
5,6,3
5,6,1
5,6,1
5,6,4
5,6,4
5,6,5
5,6,5
5,6,3
5,6,4
5,6,1
5,6,5
5,6,5
5,6,1
5,6,5
5,6,3
5,6,4
5,6,1
5,6,4
5,6,5
5,6,5
5,6,1
5,6,3
5,6,2
5,6,1
5,6,2
5,6,2
5,6,3
5,6,2
5,6,2
5,6,3
5,6,2
5,6,2
5,6,2
5,6,1
5,6,1
5,6,1
5,6,3
5,6,5
5,6,2
5,6,2
5,6,3
5,6,2
5,6,1
5,6,5
5,6,4
5,6,2
5,6,1
5,6,4
5,6,5
5,6,4
5,6,1
5,6,4
5,6,3
5,6,4
5,6,2
5,6,2
5,6,3
5,6,1
5,6,2
5,6,5
5,6,2
5,6,2
5,6,1
5,6,4
5,6,2
5,6,3
5,6,4
